,Title,MRP,Price,Discount,Availability,Url
0,"HP Victus Gaming Laptop AMD Ryzen 5 5600H,15.6inch(39.6cm) FHD Gaming Laptop/16GB RAM/512GB SSD/9ms Response Time/144Hz/AMD Radeon RX 6500M Graphics/Backlit KB/Win11/B&O/Xbox Pass 15-fb0134AX","₹73,435","₹55,",24%,,https://www.amazon.in/HP-15-6inch-Response-Graphics-15-fb0134AX/dp/B0C33T94YB/ref=sr_1_1_sspa?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
1,"MSI Sword 15 A12VF, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/White/2.25Kg), A12VE-402IN","₹1,34,990","₹1,00,",25%,In stock,https://www.amazon.in/MSI-i7-12650H-Windows-GeForce-A12VE-402IN/dp/B0BW9N46YZ/ref=sr_1_2_sspa?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
2,"HP Victus [Smart Choice }Gaming Laptop 12th Gen Intel Core i5-12450H 15.6"" FHD IPS (Windows 11 Home/16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/MSO/Xbox),15-fa0666TX","₹86,343","₹69,",19%,In stock,https://www.amazon.in/HP-i5-12450H-Windows-graphics-15-fa0666TX/dp/B0C2HZYM87/ref=sr_1_3?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-3
3,"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg) - Flat 10% cashback on Amazon Pay ICICI Credit Card","₹82,999","₹54,",34%,In stock,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG/ref=sr_1_4?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-4
4,"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg","₹1,05,383","₹75,",28%,In stock,https://www.amazon.in/Dell-Gaming-i5-12500H-39-62cm-Backlit/dp/B0C918JGBM/ref=sr_1_5?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-5
5,"Lenovo Ideapad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GTX 1650/120Hz/Win 11/Backlit Keyboard/3months Game Pass/Shadow Black/2.25Kg), 82K2025WIN","₹75,690","₹50,",33%,In stock,https://www.amazon.in/Lenovo-Ideapad-39-62cm-Keyboard-82K201UEIN/dp/B0B6GJH5Q7/ref=sr_1_6?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-6
6,"Dell G15 5520 Gaming Laptop, Intel i5-12500H,16GB DDR5,512GB SSD,NVIDIA RTX 3050 (4GB GDDR6),15.6""(39.62cm) FHD WVA AG 120Hz 250 nits, Backlit KB Orange, Win 11 + MSO'21,Dark Shadow Grey,2.81kg","₹94,987","₹72,",23%,In stock,https://www.amazon.in/Dell-i5-12500H-39-62Cms-Backlit-D560822WIN9B/dp/B09XXM57T2/ref=sr_1_7?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-7
7,"Acer Nitro 5 AN515-58 Gaming Laptop 12th Gen Intel Core i7-12650H NVIDIA GeForce RTX 3070Ti 8GB Laptop Graphics 15.6"" QHD 165Hz 3ms IPS Display 16GB DDR4 RGB Keyboard Windows 11 Home","₹1,81,999","₹99,",45%,In stock,https://www.amazon.in/Acer-AN515-58-i7-12650H-Graphics-Keyboard/dp/B0C5R13NGB/ref=sr_1_8?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-8
8,"ASUS [Smart Choice] TUF Gaming Laptop F15, Intel Core i5-11400H 11th Gen, 15.6"" (39.62 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W","₹80,990","₹61,",23%,In stock,https://www.amazon.in/ASUS-i5-11400H-GeForce-Backlit-FX506HF-HN025W/dp/B0C27SD9YR/ref=sr_1_9?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-9
9,"ASUS TUF Gaming F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 4GB Graphics, Gaming Laptop (8GB RAM/512GB NVMe SSD/Windows 11/Black/2.30 Kg), FX506LH-HN258W","₹74,990","₹52,",29%,In stock,https://www.amazon.in/ASUS-i5-10300H-Graphics-Windows-FX506LH-HN258W/dp/B09RMTMBSM/ref=sr_1_10?crid=2HK5XNIXEHW73&keywords=gaming+laptops&qid=1692104721&sprefix=%2Caps%2C217&sr=8-10
